method,mechanism,dataset,missing_rate,n_imputations,param,mean_bias,mean_perc_bias,mean_cov_rate,mean_ci_width,mean_fmi,mean_runtime,total_reps
CART,MAR,small,0.2,20,z,-0.03255310580991865,-13.021242323967474,1.0,0.27913296002168375,0.19707097654639835,0.4622950007915496,500.0
CART,MAR,small,0.3,10,I(x1 * x2),-0.0581032761212373,-32.279597845131875,0.908,0.1998782824380922,0.33171621449207356,0.2484212579727172,500.0
CART,MAR,small,0.3,10,I(x2 ** 2),0.01710657203966295,22.80876271955063,0.994,0.1721736510132824,0.32942534767680753,0.2484212579727172,500.0
CART,MAR,small,0.3,10,I(x3 * z),-0.03932634079561115,-87.39186843469152,1.0,0.30586361218273705,0.32221670011844045,0.2484212579727172,500.0
CART,MAR,small,0.3,10,x1,-0.060645828529037354,-20.215276176345803,0.857,0.18933742483446714,0.33049653318319405,0.2484212579727172,500.0
CART,MAR,small,0.3,10,x2,-0.03376257732365305,-11.254192441217702,0.975,0.19544073249368493,0.3028434855402835,0.2484212579727172,500.0
CART,MAR,small,0.3,10,x3,0.03744381399954655,18.7219069997733,0.993,0.21827918714915895,0.25865055343587035,0.2484212579727172,500.0
CART,MAR,small,0.3,10,z,-0.0561304542137433,-22.45218168549734,0.992,0.299747327102195,0.2900892637566923,0.2484212579727172,500.0
CART,MAR,small,0.3,20,I(x1 * x2),-0.05779579407694745,-32.10877448719306,0.909,0.19896289598659467,0.331544773668154,0.47854712891578677,500.0
CART,MAR,small,0.3,20,I(x2 ** 2),0.01712460820460015,22.83281093946696,0.995,0.1709096031264407,0.32619267745208713,0.47854712891578677,500.0
CART,MAR,small,0.3,20,I(x3 * z),-0.03958276896552805,-87.96170881228471,1.0,0.30403709660100864,0.3203520189460396,0.47854712891578677,500.0
CART,MAR,small,0.3,20,x1,-0.0609810258334919,-20.327008611163983,0.871,0.18827471953969235,0.32987811780479115,0.47854712891578677,500.0
CART,MAR,small,0.3,20,x2,-0.0333620208351523,-11.120673611717452,0.977,0.1948203263521348,0.3042935793909912,0.47854712891578677,500.0
CART,MAR,small,0.3,20,x3,0.037814168213961497,18.907084106980758,0.994,0.21725303227367235,0.25655774059567266,0.47854712891578677,500.0
CART,MAR,small,0.3,20,z,-0.055650168919029505,-22.26006756761181,0.996,0.2975556538028027,0.2846659528865692,0.47854712891578677,500.0
CART,MAR,small,0.5,10,I(x1 * x2),-0.0692692561463363,-38.48292008129797,0.853,0.2360832220596621,0.4972898569135745,0.2681905541419982,500.0
CART,MAR,small,0.5,10,I(x2 ** 2),0.00924709854397115,12.329464725294919,0.995,0.203845481772679,0.4980405445800177,0.2681905541419982,500.0
CART,MAR,small,0.5,10,I(x3 * z),-0.0602592246729287,-133.90938816206378,0.995,0.33683423725853817,0.42024826511798186,0.2681905541419982,500.0
CART,MAR,small,0.5,10,x1,-0.06667435382798455,-22.22478460932819,0.832,0.22733695050123587,0.513760226836484,0.2681905541419982,500.0
CART,MAR,small,0.5,10,x2,-0.042220343055683146,-14.07344768522773,0.924,0.2328755474710314,0.4855399435771687,0.2681905541419982,500.0
CART,MAR,small,0.5,10,x3,0.028667434230611,14.33371711530554,0.991,0.24787240590452103,0.4034796888078447,0.2681905541419982,500.0
CART,MAR,small,0.5,10,z,-0.099460816590938,-39.784326636375226,0.881,0.3462029206623653,0.44286028059522753,0.2681905541419982,500.0
CART,MAR,small,0.5,20,I(x1 * x2),-0.0693279589888226,-38.51553277156811,0.855,0.2344842635250505,0.5019875690738904,0.5222148625850678,500.0
CART,MAR,small,0.5,20,I(x2 ** 2),0.00930179060562875,12.402387474171721,0.996,0.20284728781091216,0.5043782623871111,0.5222148625850678,500.0
CART,MAR,small,0.5,20,I(x3 * z),-0.060505561513413506,-134.4568033631412,0.994,0.33465454756475005,0.4235338260047141,0.5222148625850678,500.0
CART,MAR,small,0.5,20,x1,-0.06734173369433,-22.447244564776682,0.8240000000000001,0.2256713766592236,0.5171715743250134,0.5222148625850678,500.0
CART,MAR,small,0.5,20,x2,-0.042518651057332296,-14.172883685777448,0.941,0.23133990856529246,0.49019950123935346,0.5222148625850678,500.0
CART,MAR,small,0.5,20,x3,0.02898465987079625,14.492329935398153,0.989,0.24604808868851868,0.4037008359503371,0.5222148625850678,500.0
CART,MAR,small,0.5,20,z,-0.099393730635221,-39.75749225408843,0.892,0.3443961384267358,0.4484962238058103,0.5222148625850678,500.0
CART,MCAR,large,0.2,10,I(x1 * x2),-0.09659125042851835,-8.0492708690432,0.655,0.2182157289734984,0.3551362216290112,0.2929345881938934,500.0
CART,MCAR,large,0.2,10,I(x2 ** 2),0.03831751671082425,7.663503342164866,0.943,0.19151051999767288,0.37053274300356354,0.2929345881938934,500.0
CART,MCAR,large,0.2,10,I(x3 * z),-0.019450708177488653,-6.483569392496237,1.0,0.30747644963429144,0.24511331203142472,0.2929345881938934,500.0
